source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:MF	GO:0005515	protein binding	2.468100088312144e-37	True	"""Binding to a protein."" [GOC:go_curators]"	14838	1809	1552	20212	0.8579325594250967	0.10459630677988947	query_1	['GO:0005488']
GO:BP	GO:0048518	positive regulation of biological process	1.4407763076415257e-26	True	"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	6250	1749	733	21031	0.41909662664379643	0.11728	query_1	['GO:0008150', 'GO:0050789']
GO:BP	GO:0048522	positive regulation of cellular process	4.958539593067704e-26	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5717	1749	682	21031	0.389937106918239	0.11929333566555886	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']
GO:BP	GO:0032502	developmental process	5.996821828734494e-25	True	"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]"	6453	1749	745	21031	0.4259576901086335	0.11545017821168449	query_1	['GO:0008150']
GO:BP	GO:0048856	anatomical structure development	2.597154811620305e-24	True	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"	5899	1749	692	21031	0.3956546598056032	0.11730801830818782	query_1	['GO:0032502']
GO:BP	GO:0006950	response to stress	7.1834694788926e-22	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3855	1749	489	21031	0.27958833619210977	0.12684824902723735	query_1	['GO:0050896']
GO:BP	GO:1901564	organonitrogen compound metabolic process	2.9602616568820066e-20	True	"""The chemical reactions and pathways involving organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	5986	1749	683	21031	0.3905088622069754	0.11409956565319078	query_1	['GO:0006807', 'GO:0071704']
GO:BP	GO:0016477	cell migration	4.812865929916208e-20	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1496	1749	237	21031	0.13550600343053174	0.15842245989304812	query_1	['GO:0048870']
GO:BP	GO:0009888	tissue development	9.085687598839903e-20	True	"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]"	2010	1749	293	21031	0.1675242995997713	0.14577114427860696	query_1	['GO:0048856']
GO:BP	GO:0009605	response to external stimulus	3.2095722080268927e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	2723	1749	366	21031	0.20926243567753003	0.1344105765699596	query_1	['GO:0050896']
GO:BP	GO:0007275	multicellular organism development	6.111217525063184e-19	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4643	1749	553	21031	0.3161806746712407	0.11910402756838251	query_1	['GO:0032501', 'GO:0048856']
GO:BP	GO:0009653	anatomical structure morphogenesis	1.4794004055416617e-17	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2684	1749	356	21031	0.2035448827901658	0.13263785394932937	query_1	['GO:0032502', 'GO:0048856']
GO:BP	GO:0032501	multicellular organismal process	1.6018933829154177e-17	True	"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]"	7669	1749	820	21031	0.4688393367638651	0.10692397965836485	query_1	['GO:0008150']
GO:BP	GO:0010033	response to organic substance	1.6815758851963857e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]"	2637	1749	351	21031	0.2006861063464837	0.13310580204778158	query_1	['GO:0042221']
GO:BP	GO:0080090	regulation of primary metabolic process	2.3588234311671053e-17	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5591	1749	634	21031	0.3624928530588908	0.11339653013772134	query_1	['GO:0019222', 'GO:0044238']
GO:BP	GO:0030154	cell differentiation	6.952054182799659e-17	True	"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]"	4366	1749	518	21031	0.296169239565466	0.11864406779661017	query_1	['GO:0048869']
GO:BP	GO:0048869	cellular developmental process	7.308386911654241e-17	True	"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]"	4367	1749	518	21031	0.296169239565466	0.11861689947332264	query_1	['GO:0009987', 'GO:0032502']
GO:BP	GO:0051239	regulation of multicellular organismal process	1.1509710126881681e-16	True	"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]"	2955	1749	380	21031	0.21726700971983992	0.12859560067681894	query_1	['GO:0032501', 'GO:0050789']
GO:BP	GO:0034097	response to cytokine	2.707187182423123e-16	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]"	932	1749	161	21031	0.09205260148656375	0.17274678111587982	query_1	['GO:0010033']
GO:BP	GO:0065007	biological regulation	3.0459849941699e-16	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	12680	1749	1228	21031	0.7021154945683248	0.09684542586750788	query_1	['GO:0008150']
GO:BP	GO:0048870	cell motility	3.431676205244213e-16	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1709	1749	249	21031	0.1423670668953688	0.1456992393212405	query_1	['GO:0009987']
GO:BP	GO:0048583	regulation of response to stimulus	4.080860539525159e-16	True	"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	3939	1749	474	21031	0.27101200686106347	0.12033511043412033	query_1	['GO:0050789', 'GO:0050896']
GO:BP	GO:0050896	response to stimulus	6.88881682180616e-16	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	8976	1749	924	21031	0.5283018867924528	0.10294117647058823	query_1	['GO:0008150']
GO:BP	GO:0009893	positive regulation of metabolic process	7.251574738452105e-16	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3711	1749	451	21031	0.2578616352201258	0.12153058474804634	query_1	['GO:0008152', 'GO:0019222', 'GO:0048518']
GO:BP	GO:0019538	protein metabolic process	9.75346366510133e-16	True	"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]"	4912	1749	564	21031	0.32246998284734135	0.11482084690553745	query_1	['GO:0043170', 'GO:0044238', 'GO:1901564']
GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	1.0950566720368445e-15	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	3420	1749	422	21031	0.24128073184676957	0.12339181286549708	query_1	['GO:0009893', 'GO:0043170', 'GO:0060255']
GO:BP	GO:0001944	vasculature development	1.6486152466260938e-15	True	"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]"	752	1749	137	21031	0.07833047455688966	0.18218085106382978	query_1	['GO:0048731', 'GO:0072359']
GO:BP	GO:0031325	positive regulation of cellular metabolic process	2.908090107529916e-15	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	3346	1749	413	21031	0.2361349342481418	0.12343096234309624	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']
GO:BP	GO:0050793	regulation of developmental process	3.093632206932677e-15	True	"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]"	2455	1749	324	21031	0.18524871355060035	0.1319755600814664	query_1	['GO:0032502', 'GO:0050789']
GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	3.4522372391364205e-15	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5440	1749	610	21031	0.34877072612921667	0.11213235294117647	query_1	['GO:0006807', 'GO:0019222']
GO:BP	GO:0070887	cellular response to chemical stimulus	6.013636553111358e-15	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]"	2683	1749	346	21031	0.1978273299028016	0.12896011926947448	query_1	['GO:0042221', 'GO:0051716']
GO:BP	GO:0048731	system development	6.415816674408092e-15	True	"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]"	3973	1749	472	21031	0.2698684962835906	0.11880191291215705	query_1	['GO:0007275', 'GO:0048856']
GO:BP	GO:0012501	programmed cell death	2.4493950643319047e-14	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1984	1749	272	21031	0.15551743853630645	0.13709677419354838	query_1	['GO:0008219']
GO:BP	GO:0008219	cell death	3.205154818136794e-14	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	1988	1749	272	21031	0.15551743853630645	0.13682092555331993	query_1	['GO:0009987']
GO:BP	GO:0006915	apoptotic process	3.481414522246684e-14	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1913	1749	264	21031	0.1509433962264151	0.138003136434919	query_1	['GO:0012501']
GO:BP	GO:0048513	animal organ development	4.243100704981452e-14	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	3039	1749	378	21031	0.21612349914236706	0.12438302073050346	query_1	['GO:0048856']
GO:BP	GO:0035239	tube morphogenesis	4.5647835371446465e-14	True	"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]"	872	1749	148	21031	0.08461978273299028	0.16972477064220184	query_1	['GO:0009653', 'GO:0035295']
GO:BP	GO:0009966	regulation of signal transduction	7.939850563986951e-14	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	3010	1749	374	21031	0.2138364779874214	0.12425249169435217	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']
GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	1.0660939422782306e-13	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	2603	1749	333	21031	0.19039451114922812	0.1279293123319247	query_1	['GO:0009059', 'GO:0010556', 'GO:0010604', 'GO:0031328']
GO:BP	GO:0030334	regulation of cell migration	1.4427438848201986e-13	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	934	1749	154	21031	0.0880503144654088	0.16488222698072805	query_1	['GO:0016477', 'GO:2000145']
GO:BP	GO:0051173	positive regulation of nitrogen compound metabolic process	2.503734934890983e-13	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	3001	1749	371	21031	0.21212121212121213	0.12362545818060647	query_1	['GO:0006807', 'GO:0009893', 'GO:0051171']
GO:BP	GO:0006952	defense response	2.663895749209516e-13	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1791	1749	248	21031	0.14179531160663236	0.13847012841987716	query_1	['GO:0006950']
GO:BP	GO:0035295	tube development	3.6918497613391254e-13	True	"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]"	1091	1749	171	21031	0.09777015437392796	0.15673693858845097	query_1	['GO:0007275', 'GO:0048856']
GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	3.708905754337165e-13	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	2685	1749	339	21031	0.19382504288164665	0.12625698324022347	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']
GO:BP	GO:0001568	blood vessel development	5.240034373279601e-13	True	"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]"	721	1749	127	21031	0.07261292166952545	0.17614424410540916	query_1	['GO:0001944', 'GO:0048856']
GO:BP	GO:0009891	positive regulation of biosynthetic process	6.794874132084508e-13	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	2706	1749	340	21031	0.19439679817038308	0.12564671101256467	query_1	['GO:0009058', 'GO:0009889', 'GO:0009893']
GO:BP	GO:0060429	epithelium development	8.533667261106125e-13	True	"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]"	1225	1749	185	21031	0.10577472841623785	0.1510204081632653	query_1	['GO:0009888']
GO:BP	GO:0050789	regulation of biological process	1.0120227298609e-12	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	12287	1749	1179	21031	0.6740994854202401	0.09595507446895092	query_1	['GO:0008150', 'GO:0065007']
GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	1.0704914891657251e-12	True	"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]"	1183	1749	180	21031	0.10291595197255575	0.1521555367709214	query_1	['GO:0009653', 'GO:0032502']
GO:BP	GO:0009607	response to biotic stimulus	1.132145467226084e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"	1586	1749	224	21031	0.12807318467695827	0.14123581336696092	query_1	['GO:0050896']
GO:BP	GO:0030155	regulation of cell adhesion	1.1866477088962567e-12	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	778	1749	133	21031	0.07604345340194396	0.17095115681233933	query_1	['GO:0007155', 'GO:0050794']
GO:BP	GO:0010646	regulation of cell communication	1.1875769058907075e-12	True	"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	3443	1749	411	21031	0.23499142367066894	0.1193726401394133	query_1	['GO:0007154', 'GO:0050794']
GO:BP	GO:0071345	cellular response to cytokine stimulus	1.5126479572528166e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:mah]"	839	1749	140	21031	0.08004574042309891	0.16686531585220502	query_1	['GO:0034097', 'GO:0071310']
GO:BP	GO:0042221	response to chemical	1.9426766643117336e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]"	3957	1749	459	21031	0.2624356775300172	0.11599696739954511	query_1	['GO:0050896']
GO:BP	GO:0007155	cell adhesion	2.3000718713847245e-12	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1512	1749	215	21031	0.12292738707833048	0.1421957671957672	query_1	['GO:0009987']
