converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value
ENSG00000284662	0.01131	0.01194	0.008007	0.0	0.0	0.004354	0.00910141404287239
ENSG00000291156	0.6713	0.4959	0.6177	1.209	0.9786	1.447	0.013085186121789483
ENSG00000248333	16.24	15.21	15.69	16.53	17.31	17.89	0.03626556115766901
ENSG00000169598	0.9421	0.7906	0.916	1.112	1.146	1.088	0.009468156422736093
ENSG00000236423	0.1005	0.1767	0.1185	0.0	0.07512	0.02579	0.03674461167977582
ENSG00000131697	0.892	0.7845	0.8308	1.136	0.9564	0.9849	0.04088059621385859
ENSG00000049246	1.115	1.031	1.236	0.8397	0.733	0.666	0.008159398365518957
ENSG00000116285	17.05	16.38	18.76	19.37	23.32	23.08	0.036336735443176754
ENSG00000131686	0.0	0.0	0.0	0.0456	0.04543	0.03119	0.0010358231662859786
ENSG00000142583	0.2775	0.2811	0.1964	0.1249	0.1867	0.1324	0.03746610559250072
ENSG00000049239	1.995	2.082	1.946	1.894	1.742	1.768	0.028463123826279836
ENSG00000171621	14.52	15.77	15.27	14.19	13.36	13.42	0.027457953762369786
ENSG00000171608	3.718	3.423	3.78	4.407	4.031	4.202	0.02077791678905091
ENSG00000178585	7.454	6.841	7.378	6.246	5.719	6.586	0.030577971601115105
ENSG00000130939	9.751	9.877	9.947	8.613	9.198	8.379	0.010744501423026513
ENSG00000116649	15.07	15.25	14.25	19.89	16.06	20.06	0.046764451360190196
ENSG00000011021	2.474	2.635	2.757	3.133	2.993	2.875	0.026914784583339457
ENSG00000162493	22.45	21.21	23.49	26.71	27.51	27.22	0.002427438599498001
ENSG00000171729	4.936	5.897	6.23	7.418	6.684	7.34	0.032082533772937565
ENSG00000197312	5.143	5.55	5.944	4.402	4.488	4.393	0.008686738555583783
ENSG00000132881	0.9204	0.9339	0.7517	0.3188	0.4367	0.6949	0.03738713478550148
ENSG00000157191	17.89	16.33	16.42	21.96	20.09	19.56	0.01454550410475325
ENSG00000117118	62.23	56.83	60.1	69.32	64.22	72.57	0.03605163836557862
ENSG00000117115	0.5269	0.5711	0.6552	0.8818	0.7346	0.7017	0.04818519986539941
ENSG00000142619	5.868	6.367	5.439	3.589	3.162	4.082	0.0037900681383362905
ENSG00000169991	8.962	8.431	8.666	8.172	7.618	7.307	0.028942450590713428
ENSG00000127481	11.44	10.96	11.7	12.23	11.94	12.24	0.03182541049796641
ENSG00000053371	10.88	10.88	10.18	8.74	8.791	9.504	0.008548324372819919
ENSG00000162545	55.43	56.04	50.94	41.9	43.6	45.55	0.0055570837982732504
ENSG00000158825	54.31	57.74	50.57	67.23	68.06	86.17	0.03957212775394794
ENSG00000231105	0.0254	0.0	0.03596	0.08578	0.08546	0.09777	0.003734374505536666
ENSG00000125945	8.238	7.727	8.539	6.167	7.154	6.757	0.01659515486387496
ENSG00000249087	0.3874	0.5291	0.4517	0.3592	0.2556	0.1579	0.04922732618974911
ENSG00000011007	15.81	14.01	15.67	17.12	17.87	18.34	0.018278850900970815
ENSG00000117614	51.61	52.35	52.89	45.2	48.74	46.64	0.007688936898670209
ENSG00000187010	0.1449	0.06795	0.1253	0.03624	0.05415	0.03717	0.042044206377477265
ENSG00000117643	0.289	0.366	0.2946	0.1041	0.1815	0.1691	0.0087673780227836
ENSG00000117682	11.19	12.0	12.37	12.86	13.14	13.67	0.03141032988403095
